"フィールド名/Field Name","日本語表示名称/Japanese Display Name","英語表示名称/English Display Name","XML属性/XML Attribute","型/Type","組合せ不可フィールド/Not Compatible Fields","動作区分/Behavior Type"
"MONTH","月","Month","month","STRING",,"Segment"
"DAY","日","Daily","day","STRING",,"Segment"
"HOUR","時間","Hourly","hourofday","LONG",,"Segment"
"CAMPAIGN_LABEL_ID","キャンペーンラベルID","Campaign label ID","campaignLabelID","LONG","[ADGROUP_LABEL, ADGROUP_LABEL_ID, AD_LABEL, AD_LABEL_ID]","Attribute"
"CAMPAIGN_LABEL","キャンペーンラベル","Campaign label","campaignLabel","STRING","[ADGROUP_LABEL, ADGROUP_LABEL_ID, AD_LABEL, AD_LABEL_ID]","Attribute"
"ADGROUP_LABEL_ID","広告グループラベルID","Ad group label ID","adGroupLabelID","LONG","[AD_LABEL, AD_LABEL_ID, CAMPAIGN_LABEL, CAMPAIGN_LABEL_ID]","Attribute"
"ADGROUP_LABEL","広告グループラベル","Ad group label","adGroupLabel","STRING","[AD_LABEL, AD_LABEL_ID, CAMPAIGN_LABEL, CAMPAIGN_LABEL_ID]","Attribute"
"AD_LABEL_ID","広告ラベルID","Ad label ID","adLabelID","LONG","[ADGROUP_LABEL, ADGROUP_LABEL_ID, CAMPAIGN_LABEL, CAMPAIGN_LABEL_ID]","Attribute"
"AD_LABEL","広告ラベル","Ad label","adLabel","STRING","[ADGROUP_LABEL, ADGROUP_LABEL_ID, CAMPAIGN_LABEL, CAMPAIGN_LABEL_ID]","Attribute"
"IMPS","インプレッション数","Impressions","impressions","LONG",,"Metric"
"CLICK_RATE","クリック率","CTR","ctr","DOUBLE",,"Metric"
"COST","コスト","Cost","cost","DOUBLE",,"Metric"
"CLICK","クリック数","Clicks","clicks","LONG",,"Metric"
"AVG_CPC","平均CPC","Avg. CPC","averageCpc","DOUBLE",,"Metric"
"AVG_DELIVER_RANK","平均掲載順位","Avg. Position","averagePosition","DOUBLE",,"Metric"
"TOTAL_VIEWABLE_IMPS","ビュー計測対象インプレッション数","Impressions on the measurement object","measurableImpressions","LONG",,"Metric"
"VIEWABLE_IMPS","ビューインプレッション数","Viewable Impressions","viewableImpressions","LONG",,"Metric"
"INVIEW_RATE","ビューインプレッション率","Viewable Impression Rate","viewableImpressionRate","DOUBLE",,"Metric"
"INVIEW_CLICK","ビュークリック数","Viewable Clicks","viewableClicks","LONG",,"Metric"
"INVIEW_CLICK_RATE","ビュークリック率","Viewable CTR","viewableCtr","DOUBLE",,"Metric"
"AVG_CPV","平均CPV","Average CPV","avgCpv","DOUBLE",,"Metric"
"VIDEO_VIEWS_TO_25","動画が25%まで再生された回数","Video Views to 25%","videoViewsTo25","LONG",,"Metric"
"VIDEO_VIEWS_TO_50","動画が50%まで再生された回数","Video Views to 50%","videoViewsTo50","LONG",,"Metric"
"VIDEO_VIEWS_TO_75","動画が75%まで再生された回数","Video Views to 75%","videoViewsTo75","LONG",,"Metric"
"VIDEO_VIEWS_TO_95","動画が95%まで再生された回数","Video Views to 95%","videoViewsTo95","LONG",,"Metric"
"VIDEO_VIEWS_TO_100","動画が100%まで再生された回数","Video Views to 100%","videoViewsTo100","LONG",,"Metric"
"AVG_PERCENT_VIDEO_VIEWED","動画の平均再生率","Average % of Video Viewed","avgPercentVideoViewed","DOUBLE",,"Metric"
"AVG_DURATION_VIDEO_VIEWED","動画の平均再生時間（秒）","Average Duration of Video Viewed","avgDurationVideoViewed","DOUBLE",,"Metric"
"VIDEO_VIEWS","動画再生数","Video Views","videoViews","LONG",,"Metric"
"PAID_VIDEO_VIEWS","課金が発生した動画再生数","Paid Video Views","paidVideoViews","LONG",,"Metric"
"PAID_VIDEO_VIEW_RATE","課金が発生した動画再生率","Paid Video View Rate","paidVideoViewRate","DOUBLE",,"Metric"
"VIDEO_VIEWS_TO_3_SEC","動画が3秒以上再生された回数","3-second Video Views","videoViewsTo3sec","LONG",,"Metric"
"CONVERSIONS","コンバージョン数","Conversions","conversions","LONG",,"Metric"
"CONV_RATE","コンバージョン率","Conversion Rate","convRate","DOUBLE",,"Metric"
"COST_PER_CONV","コスト/コンバージョン数","Cost per Conversions","costPerConv","DOUBLE",,"Metric"
"CONV_VALUE","コンバージョンの価値","Conv. Value","convValue","LONG",,"Metric"
"VALUE_PER_CONV","価値/コンバージョン数","Value per Conv.","valuePerConv","DOUBLE",,"Metric"
"ALL_CONV","すべてのコンバージョン数","All Conv.","allConv","LONG",,"Metric"
"ALL_CONV_RATE","すべてのコンバージョン率","All Conv. Rate","allConvRate","DOUBLE",,"Metric"
"COST_PER_ALL_CONV","コスト/すべてのコンバージョン数","Cost Per All Conv.","costPerAllConv","DOUBLE",,"Metric"
"ALL_CONV_VALUE","すべてのコンバージョンの価値","All Conv. Value","allConvValue","LONG",,"Metric"
"VALUE_PER_ALL_CONV","価値/すべてのコンバージョン数","Value Per All Conv.","valuePerAllConv","DOUBLE",,"Metric"
"CONVERSIONS_VIA_AD_CLICK","コンバージョン数（広告のクリック経由）","Conversions via ad click","conversionsViaAdClick","LONG",,"Metric"
"CONVERSION_RATE_VIA_AD_CLICK","コンバージョン率（広告のクリック経由）","Conversion Rate via ad click","conversionRateViaAdClick","DOUBLE",,"Metric"
"COST_PER_CONV_VIA_AD_CLICK","コスト/コンバージョン数（広告のクリック経由）","Cost Per Conv. via ad click","costPerConvViaAdClick","DOUBLE",,"Metric"
"CONV_VALUE_VIA_AD_CLICK","コンバージョンの価値（広告のクリック経由）","Conv. Value via ad click","convValueViaAdClick","LONG",,"Metric"
"VALUE_PER_CONV_VIA_AD_CLICK","価値/コンバージョン数（広告のクリック経由）","Value Per Conv. via ad click","valuePerConvViaAdClick","DOUBLE",,"Metric"
"CROSS_DEVICE_CONVERSIONS","デバイスをまたいだコンバージョン数","Conversions across devices","crossDeviceConversions","LONG",,"Metric"
"CONV_VALUE_PER_COST","コンバージョンの価値/コスト","Conv. Value Per Cost","convValuePerCost","DOUBLE",,"Metric"
"ALL_CONV_VALUE_PER_COST","すべてのコンバージョンの価値/コスト","All Conv. Value Per Cost","allConvValuePerCost","DOUBLE",,"Metric"
"CONV_VALUE_VIA_AD_CLICK_PER_COST","コンバージョンの価値（広告のクリック経由）/コスト","Conv. Value via ad click Per Cost","convValueViaAdClickPerCost","DOUBLE",,"Metric"
