"フィールド名/Field Name","日本語表示名称/Japanese Display Name","英語表示名称/English Display Name","XML属性/XML Attribute","型/Type","組合せ不可フィールド/Not Compatible Fields","動作区分/Behavior Type"
"ACCOUNT_ID","アカウントID","Account ID","accountID","LONG",,"Attribute"
"ACCOUNT_NAME","アカウント名","Account Name","accountName","STRING",,"Attribute"
"CAMPAIGN_ID","キャンペーンID","Campaign ID","campaignID","LONG",,"Attribute"
"CAMPAIGN_NAME","キャンペーン名","Campaign Name","campaignName","STRING",,"Attribute"
"ADGROUP_ID","広告グループID","Ad Group ID","adgroupID","LONG",,"Attribute"
"ADGROUP_NAME","広告グループ名","Ad Group Name","adgroupName","STRING",,"Attribute"
"MONTH","月","Month","month","STRING",,"Segment"
"DAY","日","Daily","day","STRING",,"Segment"
"DELIVER","広告掲載方式","Ad Distribution","deliverName","STRING",,"Attribute"
"DEVICE","デバイス","Device","device","STRING",,"Segment"
"AUDIENCE_CATEGORY","オーディエンスカテゴリー名","Audience category","audienceCategory","STRING",,"Attribute"
"AUDIENCE_CATEGORY_TYPE","オーディエンスカテゴリータイプ","Audience category type","audienceCategoryType","STRING",,"Attribute"
"CONVERSION_CATEGORY","コンバージョン測定の目的","Objective of Conversion Tracking","objectiveOfConversionTracking","STRING","[ALL_CONV_RATE, ALL_CONV_VALUE_PER_COST, AVG_CPC, AVG_CPM, AVG_CPV, AVG_DELIVER_RANK, AVG_DURATION_VIDEO_VIEWED, AVG_PERCENT_VIDEO_VIEWED, AVG_VCPM, CLICK, CLICK_RATE, CLICK_RATE_PREV, CONVERSION_RATE_VIA_AD_CLICK, CONV_RATE, CONV_VALUE_PER_COST, CONV_VALUE_VIA_AD_CLICK_PER_COST, COST, COST_PER_ALL_CONV, COST_PER_CONV, COST_PER_CONV_VIA_AD_CLICK, IMPS, IMPS_PREV, MEASURED_IMPS, MEASURED_IMPS_RATE, PAID_VIDEO_VIEWS, PAID_VIDEO_VIEW_RATE, VIDEO_VIEWS, VIDEO_VIEWS_TO_100, VIDEO_VIEWS_TO_10_SEC, VIDEO_VIEWS_TO_25, VIDEO_VIEWS_TO_3_SEC, VIDEO_VIEWS_TO_50, VIDEO_VIEWS_TO_75, VIDEO_VIEWS_TO_95, VIEWABLE_CLICK, VIEWABLE_CLICK_RATE, VIEWABLE_IMPS_RATE]","Segment"
"CONVERSION_NAME","コンバージョン名","Conversion Name","conversionName","STRING","[ALL_CONV_RATE, ALL_CONV_VALUE_PER_COST, AVG_CPC, AVG_CPM, AVG_CPV, AVG_DELIVER_RANK, AVG_DURATION_VIDEO_VIEWED, AVG_PERCENT_VIDEO_VIEWED, AVG_VCPM, CLICK, CLICK_RATE, CLICK_RATE_PREV, CONVERSION_RATE_VIA_AD_CLICK, CONV_RATE, CONV_VALUE_PER_COST, CONV_VALUE_VIA_AD_CLICK_PER_COST, COST, COST_PER_ALL_CONV, COST_PER_CONV, COST_PER_CONV_VIA_AD_CLICK, IMPS, IMPS_PREV, MEASURED_IMPS, MEASURED_IMPS_RATE, PAID_VIDEO_VIEWS, PAID_VIDEO_VIEW_RATE, VIDEO_VIEWS, VIDEO_VIEWS_TO_100, VIDEO_VIEWS_TO_10_SEC, VIDEO_VIEWS_TO_25, VIDEO_VIEWS_TO_3_SEC, VIDEO_VIEWS_TO_50, VIDEO_VIEWS_TO_75, VIDEO_VIEWS_TO_95, VIEWABLE_CLICK, VIEWABLE_CLICK_RATE, VIEWABLE_IMPS_RATE]","Attribute"
"OS","OS","OS","os","STRING",,"Segment"
"APPLI","ウェブ/アプリ","Web/App","appli","STRING",,"Segment"
"CAMPAIGN_TYPE","キャンペーンタイプ","Campaign Type","campaignType","STRING",,"Attribute"
"APP_ID","アプリID/パッケージ名","App ID/Package name","appID","STRING",,"Attribute"
"APP_NAME","アプリ名","App Name","appName","STRING",,"Attribute"
"APP_OS","アプリOS","App OS","appOS","STRING",,"Attribute"
"CAMPAIGN_GOALS","キャンペーン目的","Campaign goals","campaignGoals","STRING",,"Segment"
"CAMPAIGN_BUYING_TYPE","キャンペーン購入タイプ","Campaign buying type","campaignBuyingType","STRING",,"Attribute"
"IMPS","インプレッション数","Impressions","impressions","LONG","[CONVERSION_CATEGORY, CONVERSION_NAME]","Metric"
"CLICK_RATE","クリック率","CTR","ctr","DOUBLE","[CONVERSION_CATEGORY, CONVERSION_NAME]","Metric"
"COST","コスト","Cost","cost","DOUBLE","[CONVERSION_CATEGORY, CONVERSION_NAME]","Metric"
"CLICK","クリック数","Clicks","clicks","LONG","[CONVERSION_CATEGORY, CONVERSION_NAME]","Metric"
"AVG_CPC","平均CPC","Avg. CPC","avgCpc","DOUBLE","[CONVERSION_CATEGORY, CONVERSION_NAME]","Metric"
"AVG_DELIVER_RANK","平均掲載順位","Avg. position","avgPosition","DOUBLE","[CONVERSION_CATEGORY, CONVERSION_NAME]","Metric"
"VIEWABLE_IMPS","ビューアブルインプレッション数","Viewable impressions","viewableImpressions","LONG",,"Metric"
"AVG_CPV","平均CPV","Avg. CPV","avgCpv","DOUBLE","[CONVERSION_CATEGORY, CONVERSION_NAME]","Metric"
