"動作区分/Behavior Type","フィールド名/Field Name","日本語表示名称/Japanese Display Name","英語表示名称/English Display Name","XML属性/XML Attribute","型/Type","組合せ不可フィールド/Not Compatible Fields"
"Attribute","ACCOUNT_ID","アカウントID","Account ID","accountID","LONG",
"Attribute","ACCOUNT_NAME","アカウント名","Account Name","accountName","STRING",
"Attribute","CAMPAIGN_ID","キャンペーンID","Campaign ID","campaignID","LONG",
"Attribute","CAMPAIGN_NAME","キャンペーン名","Campaign Name","campaignName","STRING",
"Attribute","ADGROUP_ID","広告グループID","Ad Group ID","adgroupID","LONG",
"Attribute","ADGROUP_NAME","広告グループ名","Ad Group Name","adgroupName","STRING",
"Segment","MONTH","月","Month","month","STRING",
"Segment","DAY","日","Daily","day","STRING",
"Attribute","DELIVER","広告掲載方式","Ad Distribution","deliverName","STRING",
"Segment","DEVICE","デバイス","Device","device","STRING",
"Attribute","SITE_CATEGORY","サイトカテゴリー名","Site Category","siteCategory","STRING",
"Segment","CONVERSION_LABEL","コンバージョンラベル名","Conversion Name","conversionName","STRING","[ALL_CONV_RATE, AUTO_VIDEO_PLAYS, AVG_CPC, AVG_CPV, AVG_DELIVER_RANK, AVG_DURATION_VIDEO_VIEWED, AVG_PERCENT_VIDEO_VIEWED, CLICK, CLICK_RATE, CLICK_VIDEO_PLAYS, CONVERSION_RATE_OLD, CONV_RATE, COST, COST_PER_ALL_CONV, COST_PER_CONV, CPA_OLD, IMPS, PAID_VIDEO_VIEWS, PAID_VIDEO_VIEW_RATE, VIDEO_PLAYS, VIDEO_VIEWED_RATE, VIDEO_VIEWS, VIDEO_VIEWS_TO_100, VIDEO_VIEWS_TO_25, VIDEO_VIEWS_TO_3_SEC, VIDEO_VIEWS_TO_50, VIDEO_VIEWS_TO_75, VIDEO_VIEWS_TO_95]"
"Segment","CONVERSION_CATEGORY","コンバージョン測定の目的","Objective of Conversion Tracking","objectiveOfConversionTracking","STRING","[ALL_CONV_RATE, AUTO_VIDEO_PLAYS, AVG_CPC, AVG_CPV, AVG_DELIVER_RANK, AVG_DURATION_VIDEO_VIEWED, AVG_PERCENT_VIDEO_VIEWED, CLICK, CLICK_RATE, CLICK_VIDEO_PLAYS, CONVERSION_RATE_OLD, CONV_RATE, COST, COST_PER_ALL_CONV, COST_PER_CONV, CPA_OLD, IMPS, PAID_VIDEO_VIEWS, PAID_VIDEO_VIEW_RATE, VIDEO_PLAYS, VIDEO_VIEWED_RATE, VIDEO_VIEWS, VIDEO_VIEWS_TO_100, VIDEO_VIEWS_TO_25, VIDEO_VIEWS_TO_3_SEC, VIDEO_VIEWS_TO_50, VIDEO_VIEWS_TO_75, VIDEO_VIEWS_TO_95]"
"Segment","CARRIER","キャリア","Carrier","carrier","STRING",
"Segment","OS","OS","OS","os","STRING",
"Segment","APPLI","ウェブ/アプリ","Web/App","appli","STRING",
"Attribute","CAMPAIGN_TYPE","キャンペーンタイプ","Campaign Type","campaignType","STRING",
"Attribute","APP_ID","アプリID/パッケージ名","App ID/Package name","appID","STRING",
"Attribute","APP_NAME","アプリ名","App Name","appName","STRING",
"Attribute","APP_OS","アプリOS","App OS","appOS","STRING",
"Metric","IMPS","インプレッション数","Impressions","impressions","LONG","[CONVERSION_CATEGORY, CONVERSION_LABEL]"
"Metric","CLICK_RATE","クリック率","CTR","ctr","DOUBLE","[CONVERSION_CATEGORY, CONVERSION_LABEL]"
"Metric","COST","コスト","Cost","cost","DOUBLE","[CONVERSION_CATEGORY, CONVERSION_LABEL]"
"Metric","CLICK","クリック数","Clicks","clicks","LONG","[CONVERSION_CATEGORY, CONVERSION_LABEL]"
"Metric","AVG_CPC","平均CPC","Avg. CPC","averageCpc","DOUBLE","[CONVERSION_CATEGORY, CONVERSION_LABEL]"
