"動作区分/Behavior Type","フィールド名/Field Name","日本語表示名称/Japanese Display Name","英語表示名称/English Display Name","XML属性/XML Attribute","型/Type","組合せ不可フィールド/Not Compatible Fields"
"Attribute","ACCOUNT_ID","アカウントID","Account ID","accountID","LONG",
"Attribute","ACCOUNT_NAME","アカウント名","Account Name","accountName","STRING",
"Attribute","CAMPAIGN_ID","キャンペーンID","Campaign ID","campaignID","LONG",
"Attribute","CAMPAIGN_NAME","キャンペーン名","Campaign Name","campaignName","STRING",
"Attribute","ADGROUP_ID","広告グループID","Ad Group ID","adgroupID","LONG",
"Attribute","ADGROUP_NAME","広告グループ名","Ad Group Name","adgroupName","STRING",
"Attribute","AD_ID","広告ID","Ad ID","adID","LONG",
"Attribute","AD_NAME","広告名","Ad Name","adName","STRING",
"Segment","DAY","日","Daily","day","STRING",
"Attribute","FREQUENCY","フリークエンシー数","Frequency","frequency","STRING",
"Metric","IMPS","インプレッション数","Impressions","impressions","LONG",
"Metric","CLICK_RATE","クリック率","CTR","ctr","DOUBLE",
"Metric","COST","コスト","Cost","cost","DOUBLE",
"Metric","CLICK","クリック数","Clicks","clicks","LONG",
"Metric","UNIQUE_USERS","ユニークユーザ数","Unique Users","uniqueUsers","LONG",
"Metric","AVG_CPV","平均CPV","Average CPV","avgCpv","DOUBLE",
"Metric","VIDEO_VIEWS_TO_25","動画が25%まで再生された回数","Video Views to 25%","videoViewsTo25","LONG",
"Metric","VIDEO_VIEWS_TO_50","動画が50%まで再生された回数","Video Views to 50%","videoViewsTo50","LONG",
"Metric","VIDEO_VIEWS_TO_75","動画が75%まで再生された回数","Video Views to 75%","videoViewsTo75","LONG",
"Metric","VIDEO_VIEWS_TO_95","動画が95%まで再生された回数","Video Views to 95%","videoViewsTo95","LONG",
"Metric","VIDEO_VIEWS_TO_100","動画が100%まで再生された回数","Video Views to 100%","videoViewsTo100","LONG",
"Metric","AVG_PERCENT_VIDEO_VIEWED","動画の平均再生率","Average % of Video Viewed","avgPercentVideoViewed","DOUBLE",
"Metric","AVG_DURATION_VIDEO_VIEWED","動画の平均再生時間（秒）","Average Duration of Video Viewed","avgDurationVideoViewed","DOUBLE",
"Metric","VIDEO_VIEWS","動画再生数","Video Views","videoViews","LONG",
"Metric","PAID_VIDEO_VIEWS","課金が発生した動画再生数","Paid Video Views","paidVideoViews","LONG",
"Metric","PAID_VIDEO_VIEW_RATE","課金が発生した動画再生率","Paid Video View Rate","paidVideoViewRate","DOUBLE",
"Metric","VIDEO_VIEWS_TO_3_SEC","動画が3秒以上再生された回数","3-second Video Views","videoViewsTo3sec","LONG",
"Metric","CONVERSIONS","コンバージョン数","Conversions","conversions","LONG",
"Metric","CONV_RATE","コンバージョン率","Conversion Rate","convRate","DOUBLE",
"Metric","COST_PER_CONV","コスト/コンバージョン数","Cost per Conversions","costPerConv","DOUBLE",
"Metric","ALL_CONV","すべてのコンバージョン数","All Conv.","allConv","LONG",
"Metric","ALL_CONV_RATE","すべてのコンバージョン率","All Conv. Rate","allConvRate","DOUBLE",
"Metric","COST_PER_ALL_CONV","コスト/すべてのコンバージョン数","Cost Per All Conv.","costPerAllConv","DOUBLE",
"Metric","CONVERSIONS_VIA_AD_CLICK","コンバージョン数（広告のクリック経由）","Conversions via ad click","conversionsViaAdClick","LONG",
"Metric","CONVERSION_RATE_VIA_AD_CLICK","コンバージョン率（広告のクリック経由）","Conversion Rate via ad click","conversionRateViaAdClick","DOUBLE",
"Metric","COST_PER_CONV_VIA_AD_CLICK","コスト/コンバージョン数（広告のクリック経由）","Cost Per Conv. via ad click","costPerConvViaAdClick","DOUBLE",
"Metric","CROSS_DEVICE_CONVERSIONS","デバイスをまたいだコンバージョン数","Conversions across devices","crossDeviceConversions","LONG",
